Test Time (s),Indent Disp. (nm),Indent Act. Load (µN),Indent Load (µN),Indent Disp. Volt. (V),Indent Act. Load Volt. (V),Indent Act. Output Volt. (V),Dynamic Freq. (Hz),Disp. Amp. (nm),Phase Shift (deg),Load Amp. (µN),Dynamic Comp. (nm/µN),Disp. Amp. Volt. (V),Load Amp. Volt. (V),Storage Mod. (GPa),Loss Mod. (GPa),Hardness (GPa),Complex Mod. (GPa),Tan-Delta,Storage Stiff. (µN/nm),Loss Stiff. (µN/nm),Complex Stiff. (µN/nm),Damping (g/s),Contact Area (nm^2),Contact Depth (nm),Ref. Stor. Mod. (GPa),Ref. Loss Mod. (GPa),Ref. Hardness (GPa),Ref. Compl. Mod. (GPa),Ref. Indent Disp. (nm),Ref. Contact Area (nm^2),Ref. Cont. Depth. (nm)
11.085112,450.096049,957.747205,742.376306,-0.091774,1.552444,1.552444,280.0,0.069851,-5.095694,8.81583,0.007923,1.033277e-005,0.005051,59.587456,4.795361,0.182355,59.7801,0.080476,136.46654,10.982283,136.907731,0.006242,4119386.609051,446.037458,66.3,5.335559,0.225754,66.514346,403.404533,3327477.920514,399.345943
11.090133,450.181595,956.042327,740.638931,-0.091791,1.55106,1.55106,280.0,0.069455,-4.787846,8.810355,0.007883,1.027422e-005,0.005052,59.923614,4.522523,0.181837,60.094033,0.075471,137.272249,10.360137,137.662641,0.005889,4121538.661166,446.156362,66.3,5.003758,0.222594,66.488552,405.861181,3366885.312574,401.835948
11.095153,450.150761,956.757741,741.369041,-0.091783,1.551641,1.551641,280.0,0.069742,-4.962208,8.816012,0.007911,1.031676e-005,0.005053,59.69139,4.674262,0.182057,59.874124,0.078307,136.724967,10.706542,137.143526,0.006086,4120616.041131,446.10539,66.3,5.191764,0.2246,66.502965,404.385459,3340092.374105,400.340088
11.100173,450.245193,959.064037,743.63829,-0.091802,1.553508,1.553508,280.0,0.069965,-5.151868,8.82901,0.007924,1.034968e-005,0.005055,59.55444,4.84697,0.182552,59.751355,0.081387,136.43324,11.103921,136.884353,0.006312,4121943.013438,446.178699,66.3,5.395972,0.226248,66.519219,403.412437,3325854.244142,399.345943
11.105194,450.297176,956.279145,740.834912,-0.091812,1.55125,1.55125,280.0,0.069448,-4.736549,8.818551,0.007875,1.027323e-005,0.005056,59.97826,4.47664,0.181792,60.145091,0.074638,137.433414,10.257716,137.815689,0.005831,4123697.809531,446.275624,66.3,4.94848,0.222133,66.484415,406.357361,3374795.774404,402.33581
11.110214,450.288946,960.450686,745.011098,-0.091809,1.55463,1.55463,280.0,0.069304,-4.843403,8.840131,0.00784,1.025197e-005,0.005057,60.259243,4.600927,0.182819,60.434633,0.076352,138.073555,10.542223,138.475431,0.005992,4123476.749545,446.263415,66.3,5.062153,0.22131,66.492972,408.36701,3406307.412605,404.34148
11.115235,450.327681,958.042485,742.589762,-0.091816,1.552679,1.552679,280.0,0.068362,-5.152805,8.83141,0.007741,1.011257e-005,0.005059,61.036593,4.963187,0.182147,61.238051,0.081315,139.886618,11.374873,140.348329,0.006466,4125358.117644,446.36731,66.3,5.391181,0.214916,66.518831,413.869149,3496352.108917,409.908777
11.120255,450.447512,959.73266,744.232608,-0.09184,1.554046,1.554046,280.0,0.068019,-4.904336,8.841577,0.007693,1.006184e-005,0.00506,61.446871,4.748108,0.182436,61.630045,0.077272,140.869822,10.88526,141.289758,0.006187,4127872.428373,446.506116,66.3,5.123118,0.212392,66.497642,416.919124,3545673.614582,412.977727
11.125276,450.680182,961.137831,745.544228,-0.091888,1.555178,1.555178,280.0,0.067855,-4.745359,8.850442,0.007667,1.003758e-005,0.005062,61.654283,4.604958,0.182563,61.826016,0.07469,141.420109,10.562668,141.814023,0.006004,4132241.716986,446.74722,66.3,4.951947,0.211112,66.484673,418.45377,3573429.018249,414.520808
11.130296,450.806625,958.909019,743.26626,-0.091913,1.553371,1.553371,280.0,0.068353,-5.094003,8.842553,0.00773,1.011121e-005,0.005063,61.06902,4.90737,0.181929,61.265875,0.080358,140.108915,11.258839,140.560555,0.0064,4134086.114138,446.848955,66.3,5.32772,0.21443,66.513717,414.37635,3507473.223131,410.418681
11.135316,450.841847,963.055768,747.399834,-0.09192,1.556726,1.556726,280.0,0.06819,-5.01715,8.864024,0.007693,1.008711e-005,0.005064,61.386723,4.85545,0.182906,61.578447,0.079096,140.848334,11.140552,141.288234,0.006332,4134703.885091,446.883025,66.3,5.244071,0.213357,66.507069,416.423466,3544592.0084,412.464645
11.140337,450.964863,960.136864,744.433336,-0.091944,1.554362,1.554362,280.0,0.06789,-4.772967,8.852959,0.007669,1.004271e-005,0.005066,61.597607,4.628252,0.182064,61.771238,0.075137,141.379814,10.622839,141.778336,0.006038,4137490.552599,447.036675,66.3,4.981576,0.210922,66.486887,418.448996,3571392.945628,414.520808
11.145357,451.003728,962.723758,747.005914,-0.091951,1.556454,1.556454,280.0,0.068228,-5.965604,8.867248,0.007694,1.009277e-005,0.005067,61.248582,5.785825,0.182687,61.521253,0.094465,140.579545,13.279795,141.205388,0.007548,4137538.696115,447.039329,66.3,6.263005,0.214063,66.595159,415.916598,3531076.22415,411.952199
